Year,DayofYear,Station,Temp,Conductivity,DO,pH,Turbidity,ChlFluor
2022,107,Barkers,1.2,0.24,12.6,7.5,13,8.8
2022,114,Barkers,1.3,0.24,12.3,7.6,14,11.5
2022,121,Barkers,3.4,0.16,12.5,7.6,21,13.1
2022,128,Barkers,11.3,0.18,11.6,7.7,13,40.5
2022,135,Barkers,13.7,0.16,9.8,7.5,19,23.6
2022,142,Barkers,13,0.15,8.8,7.4,10,28.2
2022,149,Barkers,13.2,0.15,8.6,7.4,12,21.8
2022,156,Barkers,16.3,0.15,8.1,7.4,9,9
2022,163,Barkers,17.9,0.15,7.5,7.4,12,11.2
2022,170,Barkers,17.2,0.15,7.8,7.5,14,8.2
2022,177,Barkers,19.4,0.17,7.6,7.6,17,9.2
2022,184,Barkers,20.4,0.16,8.2,7.7,12,12
2022,191,Barkers,20.6,0.16,8.1,7.7,13,14.1
2022,198,Barkers,22.7,0.17,7.4,7.7,10,12.9
2022,205,Barkers,22.3,0.17,6.8,7.6,11,13.3
2022,212,Barkers,18.8,0.16,7.7,7.5,13,7.4
2022,219,Barkers,20.9,0.17,8.6,7.9,8,20
2022,261,Barkers,18,0.19,8.7,7.8,7,14.1
2022,268,Barkers,16.6,0.2,9.7,8,7,24.6
2022,275,Barkers,14.5,0.2,9.9,7.9,7,11.3
2022,282,Barkers,11.6,0.2,10.1,7.9,8,13.2
2022,289,Barkers,9.5,0.2,10.5,7.9,11,11
2022,296,Barkers,8.6,0.2,11.1,7.9,8,7.9
2022,303,Barkers,9.1,0.21,10.8,7.9,6,7.1
2022,310,Barkers,8,0.21,10.8,7.9,6,6.2
2022,317,Barkers,3.9,0.26,11.8,7.9,9,4.4
2022,324,Barkers,0.3,0.27,13,7.9,7,4.5
2023,113,Barkers,2.5,0.16,12.7,7.4,24,8.8
2023,120,Barkers,5.7,0.16,11.9,7.6,33,11.3
2023,127,Barkers,8,0.15,10.7,7.5,11,10.2
2023,134,Barkers,11.9,0.14,10,7.5,8,12.2
2023,141,Barkers,14.3,0.14,8.9,7.4,6,10.6
2023,148,Barkers,14.8,0.15,9.5,7.6,5,10.5
2023,155,Barkers,17.9,0.16,9.2,7.7,5,19.3
2023,162,Barkers,17.7,0.17,9,7.9,5,16
2023,169,Barkers,19.6,0.18,8.2,7.8,6,8.8
2023,176,Barkers,18.2,0.19,7.6,7.7,9,6.5
2023,183,Barkers,22.3,0.21,8,7.8,8,7.1
2023,190,Barkers,20.1,0.2,7.8,7.6,6,5.9
2023,204,Barkers,20,0.18,10,8.3,4,7.9
